,75_perc,50_perc,avg,90_perc,85_perc
all,130151.2007,29898.387000000002,76002.85658090159,226217.59029999998,191559.0528
test1-01,254954.5,176637.89239999998,150633.43554014448,291744.54000000004,291718.2
test1-05,45100.3807,22032.7476,41966.17723541946,91702.713,78676.31252499996
test1-06,27068.329399999995,14209.610799999999,43112.341974216375,150317.8328,127940.05279999999
test1-07,219905.67080000002,122514.4166,125609.14118406594,283208.2,249052.09517999997
test1-08,263693.39175999997,202020.3592,170961.8022850746,301762.9,291718.2
test1-12,122245.41929999998,35044.1785,84412.12819393938,240073.60791999998,207833.89168000006
test1-14,49627.38571999999,16690.37475,49873.8027637931,159577.88965000014,126774.93844499996
test1-15,177706.78924,64904.04549999999,104505.798,255914.96396000002,241846.49
test1-16,49589.25028999997,25391.8213,46087.225873088566,117759.87920000001,87228.096045
test1-sr,40074.28813999997,17184.111100000002,42004.677514285715,99092.15896000002,86135.92743999997
test1-tg,41829.579560000006,36696.560399999995,67124.6333247191,239650.53208,200605.7528
test_1068,151119.56645999983,60456.50739999999,97642.59152978723,244845.58961999998,240061.17080000002
test_1147,26449.962900000002,14824.8341,26517.037236144577,69876.89014999999,53849.392349999995
test_1164,163455.87664,54110.955350000004,98716.5397352941,237978.3996,217156.919535
test_1206,219116.9854,43752.6883,114302.28200185185,283208.2,278854.3951
test_1332,32686.658599999897,13997.994100000005,40761.2957292517,139845.57042,71350.09408999994
test_1372,130140.4767,23460.3085,83561.89660803674,251997.63959999997,216120.65279999998
test_1374,132532.92828999995,36617.44885,82830.64188716981,238629.07092,221517.12137500005
test_1464,21354.923579999988,13484.214600000003,35285.30427678832,123733.85861999998,65575.19651999998
test_1549,141886.317,42153.43759999999,89299.7086168317,207780.7366,183807.2929
test_1622,44075.75497999998,28687.965399999997,57099.38110835102,174709.64098,138699.45365999997
test_1666,93490.54229999991,38962.221600000004,68536.20211176046,183161.64519999997,159534.54160000003
test_1751,74150.09416,25337.26095,69045.27187158671,228490.09803000002,188753.67049999998
test_1769,16665.6497,9917.3955,32674.9121943662,97493.1752,51099.660149999996
test_1786,39938.71972,13485.704950000003,48365.6937980695,183550.75159,116659.85389999993
test_1831,100572.2863,25936.151700000002,74808.82085716388,216083.52541,183772.86686000007
test_1960,28929.799979999934,14131.5608,41205.6793222183,137563.9132,85997.45218999998
test_2000,14319.984879999998,10081.544000000002,18604.817693333334,52618.78943999999,38029.432170000015
test_2100,86147.65340000001,18815.588799999998,61312.11390810266,176338.02,144023.73294999995
test_2580,167268.86375,58056.88879999998,100196.81578843613,240061.17080000002,227996.56560000003
test_2776,51588.98316999992,18012.621900000002,54601.642418999996,167267.83268000002,142652.3733749999
test_2787,59619.7787,13948.294499999998,58219.4994019334,193648.5,153286.03149999998
test_3515,126716.93134000001,62416.668900000004,83661.30444452784,210124.3708,185879.59482999993
test_3557,24916.796219999997,13153.001100000003,42606.3872651505,160806.55120000002,123727.75771999998
test_4151,37760.06859999999,10873.994600000002,24713.825080000002,49194.21942000001,47623.34198
test_4287,150031.17329999997,90962.7215,96722.54126788532,205529.36560000002,187027.4528
test_4302,36125.81809999999,15261.1889,35737.19534085655,80734.4658,61136.990399999995
test_4397,104387.61319999999,9617.3146,66420.25055508786,206389.21960000007,171518.07091999997
test_4404,207579.19859999997,139819.12,125577.85437139515,251556.5656,238482.33959999998
test_4491,259107.5,60090.91749999997,127925.97886747184,294853.7,291718.2
test_4654,202384.31421999997,119925.6335,119851.37045939118,251835.16589999996,238482.33959999995
test_4727,183822.54991999996,45265.20745,106163.87407122969,272732.24827000004,248517.53594000006
test_4818,150796.05943999998,38889.18985,87581.40266362068,244775.2,222024.65167
test_4988,4134.500029999999,4115.56345,4115.56345,4153.43661,4148.702464999999
test_5238,196763.0168,109266.2132,122149.22756879017,286867.16579999996,270883.36830000003
test_5458,43535.2719,20061.06295,45646.575519191916,104602.2521,81139.19834
test_5623,108192.59760000002,39745.2678,76770.3518972878,210848.33959999998,182051.0528
test_5826,64119.2885,21714.716099999998,58103.79357723293,171347.7911,147684.01700000002
test_5838,43971.39568,33848.4495,54578.44293854922,176170.84207999997,133633.53280000002
test_6025,77522.29522,15480.8521,53075.767806425705,146115.2618,124702.22711999995
test_6172,57364.33178999991,22032.7476,59290.10318631168,191932.6,144849.9029
test_6215,121681.933,44954.768950000005,88495.12070988993,251966.43959999998,215618.12539499995
test_6318,197785.64160000003,71119.76560000001,112863.1408470912,275924.82,253940.2
test_6445,34558.19550000001,13868.192599999998,43855.49115956607,141143.22960000002,81805.2118
test_6807,150247.8761,53188.23595,92434.98811198738,239944.19217,216964.08664000005
test_7234,43352.218160000004,13235.5108,55321.34141571947,208128.14386,141913.20335000003
test_7384,44487.15466999999,29558.7333,57712.23810536912,192388.5847,132609.30706499988
test_7965,39406.77239,13879.584200000001,38322.57672258064,114378.50040000002,86054.31899999999
test_8124,78059.31846,37100.1685,58883.12397178301,147335.8164,111681.06789999997
test_8128,132973.59720000002,34604.442050000005,89690.44783945312,262026.9,228415.67080000002
test_8265,43399.2767,14167.486799999999,49329.93125351089,147321.3683,121932.98317500002
test_8440,37205.131259999995,13565.2068,40798.81406326531,122024.28619999999,87145.22526
test_8540,37630.00876,14832.411900000001,47554.11908818959,151030.3450800001,112445.81160999947
test_8973,134501.60245999988,78766.2603,98443.6429189349,244834.76,243441.61056000003
test_9296,82444.73740000001,36819.428,69697.80211626846,201840.35989999998,155024.3135
test_9655,63604.47840000001,63604.47840000001,63604.47840000001,63604.47840000001,63604.47840000001
test_9702,43188.464,25486.8347,61127.233620680636,239540.87564000022,162676.68596499966
test_9892,38067.26382999997,12542.162799999996,52026.139316538465,203189.82980999994,134232.28686000002
